FechaEmision;Año;Mes;Tipo de Comprobante;Nro. Doc. Receptor;DenominacionReceptor;IVA 10,5%;Imp. Neto Gravado IVA 10,5%;IVA 21%;Imp. Neto Gravado IVA 21%;IVA 27%;Imp. Neto Gravado IVA 27%;Imp. Neto Gravado Total;Imp. Neto No Gravado;Imp. Op. Exentas;Otros Tributos;Total IVA;Imp. Total;TotalVenta;Anio;Anio_ajuste;Mes_ajuste;IPC_fila;Coef_Deflactor;TotalVenta_Real;TotalVenta_Nominal
2023-01-25;2023;1;1;30657033770;Sin cliente;0;0;1187;5655;0;0;5655;0;0;0;1187;6842;6842;2023;2023;1;1.06;7.779718450816378;53229;6842
2023-01-25;2023;1;1;30657033770;Sin cliente;0;0;17348;82613;0;0;82613;0;0;0;17348;112378;112378;2023;2023;1;1.06;7.779718450816378;874269;112378
2023-01-25;2023;1;1;30657033770;Sin cliente;0;0;957;4559;0;0;4559;0;0;0;957;6098;6098;2023;2023;1;1.06;7.779718450816378;47441;6098
2023-01-26;2023;1;1;30657033770;Sin cliente;3072;29257;0;0;0;0;29257;0;0;0;3072;32329;32329;2023;2023;1;1.06;7.779718450816378;251511;32329
2023-01-26;2023;1;1;30657033770;Sin cliente;0;0;1047;4988;0;0;4988;0;0;0;1047;7570;7570;2023;2023;1;1.06;7.779718450816378;58892;7570
2023-01-26;2023;1;1;30657033770;Sin cliente;0;0;859;4090;0;0;4090;0;0;0;859;4950;4950;2023;2023;1;1.06;7.779718450816378;38510;4950
2023-01-26;2023;1;1;30657033770;Sin cliente;0;0;7653;36446;0;0;36446;0;0;0;7653;44100;44100;2023;2023;1;1.06;7.779718450816378;343086;44100
2023-01-26;2023;1;4;30657033770;Sin cliente;0;0;11544;54976;0;0;54976;0;0;0;11544;66520;66520;2023;2023;1;1.06;7.779718450816378;517507;66520
2023-01-27;2023;1;1;30657033770;Sin cliente;1542;14688;0;0;0;0;14688;0;0;0;1542;16230;16230;2023;2023;1;1.06;7.779718450816378;126265;16230
2023-01-27;2023;1;1;30657033770;Sin cliente;0;0;8169;38900;0;0;38900;0;0;0;8169;47070;47070;2023;2023;1;1.06;7.779718450816378;366191;47070
2023-01-27;2023;1;1;30657033770;Sin cliente;670;6389;0;0;0;0;6389;0;0;0;670;7060;7060;2023;2023;1;1.06;7.779718450816378;54925;7060
2023-01-27;2023;1;1;30657033770;Sin cliente;0;0;1007;4796;0;0;4796;0;0;0;1007;7278;7278;2023;2023;1;1.06;7.779718450816378;56621;7278
2023-01-27;2023;1;1;30657033770;Sin cliente;0;0;21086;100413;0;0;100413;0;0;0;21086;121500;121500;2023;2023;1;1.06;7.779718450816378;945236;121500
2023-01-27;2023;1;1;30657033770;Sin cliente;0;0;4443;21158;0;0;21158;0;0;0;4443;25601;25601;2023;2023;1;1.06;7.779718450816378;199169;25601
2023-01-28;2023;1;1;30657033770;Sin cliente;3354;31946;0;0;0;0;31946;0;0;0;3354;35301;35301;2023;2023;1;1.06;7.779718450816378;274632;35301
2023-01-28;2023;1;1;30657033770;Sin cliente;7014;66800;13864;66020;0;0;132820;0;0;0;20878;153698;153698;2023;2023;1;1.06;7.779718450816378;1195727;153698
2023-01-30;2023;1;1;30657033770;Sin cliente;13733;130791;0;0;0;0;130791;0;0;0;13733;149756;149756;2023;2023;1;1.06;7.779718450816378;1165060;149756
2023-01-31;2023;1;1;30657033770;Sin cliente;0;0;9240;44000;0;0;44000;0;0;0;9240;56320;56320;2023;2023;1;1.06;7.779718450816378;438154;56320
